,Year,error
0,1984.0,0.17829386393229166
1,1985.0,1922812.864673917
2,1986.0,37756255.529323354
3,1987.0,172324929.52602714
4,1988.0,205599086.99396834
5,1989.0,173287260.07257083
6,1990.0,364859957.58081394
7,1991.0,506341072.39476
8,1992.0,536059278.4254907
9,1993.0,191897135.68237752
10,1994.0,287794344.8196177
11,1995.0,255559425.4078897
12,1996.0,452229045.2362332
13,1997.0,553446748.4836131
14,1998.0,349811068.54397494
15,1999.0,359019928.9201977
16,2000.0,361027582.83295494
17,2001.0,368070528.228849
18,2002.0,507070856.3052901
19,2003.0,1160771650.9531195
20,2004.0,1451898704.298114
21,2005.0,1453969492.374523
22,2006.0,1096285546.2191632
23,2007.0,1746397147.8731754
24,2008.0,1701914450.6278768
25,2009.0,1703820016.466475
26,2010.0,42843542.50039314
27,2011.0,50670728.10837286
28,2012.0,52547421.73729527
29,2013.0,59281256.4431673
30,2014.0,62861531.44864962
31,2015.0,67217936.97611326
32,2016.0,67159576.43044531
33,2017.0,74073062.24291542
34,2018.0,59527806.3428154
